mnem,pref,twobyte,pri_opcd,sec_opcd,+r,op_size,sign-ext,direction,tttn,mem_format,opcd_ext,mode,ring,lock,fpush,fpop,alias,part_alias,instr_ext,grp1,grp2,grp3,test_f,modif_f,def_f,undef_f,f_vals,exclusive,brief,op1_m,op1_t,op2_m,op2_t,op3_m,op3_t,op4_m,op4_t
out,,0,EE,,,0,,,,,,,f,,,,,,,gen,inout,,,,,,,,Output to Port,403,16,102,1,,,,
out,,0,EF,,,1,,,,,,,f,,,,,,,gen,inout,,,,,,,,Output to Port,403,16,104,15,,,,
int1,,0,F1,,,,,,,,,,,,,,,CD,,gen,breakstack,,,i,i,,i,,Call to Interrupt Procedure,,,,,,,,
icebp,,0,F1,,,,,,,,,,,,,,,CD,,gen,breakstack,,,i,i,,i,,Call to Interrupt Procedure,,,,,,,,
hlt,,0,F4,,,,,,,,,,0,,,,,,,system,,,,,,,,,Halt,,,,,,,,
cmc,,0,F5,,,,,,,,,,,,,,,,,gen,flgctrl,,c,c,c,,,,Complement Carry Flag,,,,,,,,
test,,0,F6,,,0,,,,,0,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Compare,4,1,8,1,,,,
test,,0,F6,,,0,,,,,1,,,,,,F6_0,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Compare,4,1,8,1,,,,
not,,0,F6,,,0,,,,,2,,,,,,,,,gen,logical,,,,,,,,One's Complement Negation,4,1,,,,,,
neg,,0,F6,,,0,,,,,3,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Two's Complement Negation,4,1,,,,,,
mul,,0,F6,,,0,,,,,4,,,,,,,,,gen,arith,binary,,oszapc,oc,szap,,,Unsigned Multiply,4,1,,,,,,
imul,,0,F6,,,0,,,,,5,,,,,,,,,gen,arith,binary,,oszapc,oc,szap,,,Signed Multiply,4,1,,,,,,
div,,0,F6,,,0,,,,,6,,,,,,,,,gen,arith,binary,,oszapc,,oszapc,,,Unsigned Divide,4,1,,,,,,
idiv,,0,F6,,,0,,,,,7,,,,,,,,,gen,arith,binary,,oszapc,,oszapc,,,Signed Divide,4,1,,,,,,
test,,0,F7,,,1,,,,,0,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Compare,4,36,8,36,,,,
test,,0,F7,,,1,,,,,1,,,,,,F7_0,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Compare,4,36,8,36,,,,
not,,0,F7,,,1,,,,,2,,,,,,,,,gen,logical,,,,,,,,One's Complement Negation,4,36,,,,,,
neg,,0,F7,,,1,,,,,3,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Two's Complement Negation,4,36,,,,,,
mul,,0,F7,,,1,,,,,4,,,,,,,,,gen,arith,binary,,oszapc,oc,szap,,,Unsigned Multiply,4,36,,,,,,
imul,,0,F7,,,0,,,,,5,,,,,,,,,gen,arith,binary,,oszapc,oc,szap,,,Signed Multiply,4,36,,,,,,
div,,0,F7,,,0,,,,,6,,,,,,,,,gen,arith,binary,,oszapc,,oszapc,,,Unsigned Divide,4,36,,,,,,
idiv,,0,F7,,,0,,,,,7,,,,,,,,,gen,arith,binary,,oszapc,,oszapc,,,Signed Divide,4,36,,,,,,
clc,,0,F8,,,,,,,,,,,,,,,,,gen,flgctrl,,,c,c,,c,,Clear Carry Flag,,,,,,,,
stc,,0,F9,,,,,,,,,,,,,,,,,gen,flgctrl,,,c,c,,C,,Set Carry Flag,,,,,,,,
cli,,0,FA,,,,,,,,,,f,,,,,,,gen,flgctrl,,,i,i,,i,,Clear Interrupt Flag,,,,,,,,
sti,,0,FB,,,,,,,,,,f,,,,,,,gen,flgctrl,,,i,i,,I,,Set Interrupt Flag,,,,,,,,
cld,,0,FC,,,,,,,,,,,,,,,,,gen,flgctrl,,,d,d,,d,,Clear Direction Flag,,,,,,,,
std,,0,FD,,,,,,,,,,,,,,,,,gen,flgctrl,,,d,d,,D,,Set Direction Flag,,,,,,,,
inc,,0,FE,,,0,,,,,0,,,,,,,,,gen,arith,binary,,oszap,oszap,,,,Increment by 1,4,1,,,,,,
dec,,0,FE,,,0,,,,,1,,,,,,,,,gen,arith,binary,,oszap,oszap,,,,Decrement by 1,4,1,,,,,,
inc,,0,FF,,,1,,,,,0,,,,,,,,,gen,arith,binary,,oszap,oszap,,,,Increment by 1,4,36,,,,,,
dec,,0,FF,,,1,,,,,1,,,,,,,,,gen,arith,binary,,oszap,oszap,,,,Decrement by 1,4,36,,,,,,
call,,0,FF,,,,,,,,2,,,,,,,,,gen,branchstack,,,,,,,,Call Procedure,4,15,,,,,,
call,,0,FF,,,,,,,,2,e,,,,,,,,gen,branchstack,,,,,,,,Call Procedure,4,9,,,,,,
callf,,0,FF,,,,,,,,3,,,,,,,,,gen,branchstack,,,,,,,,Call Procedure,11,30,,,,,,
jmp,,0,FF,,,,,,,,4,,,,,,,,,gen,branch,,,,,,,,Jump,4,15,,,,,,
jmp,,0,FF,,,,,,,,4,e,,,,,,,,gen,branch,,,,,,,,Jump,4,9,,,,,,
jmpf,,0,FF,,,,,,,,5,,,,,,,,,gen,branch,,,,,,,,Jump,11,30,,,,,,
push,,0,FF,,,,,,,,6,,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,4,15,,,,,,
push,,0,FF,,,,,,,,6,e,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,4,48,,,,,,
sldt,,1,0,,,,,,,,0,p,,,,,,,,system,,,,,,,,,Store Local Descriptor Table Register,11,16,,,,,,
sldt,,1,0,,,,,,,,0,p,,,,,,,,system,,,,,,,,,Store Local Descriptor Table Register,16,36,,,,,,
str,,1,0,,,,,,,,1,p,,,,,,,,system,,,,,,,,,Store Task Register,11,16,,,,,,
str,,1,0,,,,,,,,1,p,,,,,,,,system,,,,,,,,,Store Task Register,16,36,,,,,,
lldt,,1,0,,,,,,,,2,p,0,,,,,,,system,,,,,,,,,Load Local Descriptor Table Register,4,16,,,,,,
ltr,,1,0,,,,,,,,3,p,0,,,,,,,system,,,,,,,,,Load Task Register,4,16,,,,,,
verr,,1,0,,,,,,,,4,p,,,,,,,,system,,,,z,z,,,,Verify a Segment for Reading,4,16,,,,,,
verw,,1,0,,,,,,,,5,p,,,,,,,,system,,,,z,z,,,,Verify a Segment for Writing,4,16,,,,,,
jmpe,,1,0,,,,,,,,6,,,,,,,,,system,branch,,,,,,,,Jump to IA-64 Instruction Set,,,,,,,,
sgdt,,1,1,,,,,,,,0,,,,,,,,,system,,,,,,,,,Store Global Descriptor Table Register,11,11,,,,,,
vmcall,,1,1,C1,,,,,,,0,p,0,,,,,,vmx,,,,,oszapc,oszapc,,,,Call to VM Monitor,,,,,,,,
vmlaunch,,1,1,C2,,,,,,,0,p,0,,,,,,vmx,,,,,oszapc,oszapc,,,,Launch Virtual Machine,,,,,,,,
vmresume,,1,1,C3,,,,,,,0,p,0,,,,,,vmx,,,,,oszapc,oszapc,,,,Resume Virtual Machine,,,,,,,,
vmxoff,,1,1,C4,,,,,,,0,p,0,,,,,,vmx,,,,,oszapc,oszapc,,,,Leave VMX Operation,,,,,,,,
sidt,,1,1,,,,,,,,1,,,,,,,,,system,,,,,,,,,Store Interrupt Descriptor Table Register,11,11,,,,,,
monitor,,1,1,C8,,,,,,,1,,0,,,,,,sse3,sync,,,,,,,,,Set Up Monitor Address,,,,,,,,
mwait,,1,1,C9,,,,,,,1,,0,,,,,,sse3,sync,,,,,,,,,Monitor Wait,,,,,,,,
lgdt,,1,1,,,,,,,,2,,0,,,,,,,system,,,,,,,,,Load Global Descriptor Table Register,11,11,,,,,,
xgetbv,,1,1,D0,,,,,,,2,,,,,,,,,system,,,,,,,,,Get Value of Extended Control Register,,,,,,,,
xsetbv,,1,1,D1,,,,,,,2,,0,,,,,,,system,,,,,,,,,Set Extended Control Register,,,,,,,,
lidt,,1,1,,,,,,,,3,,0,,,,,,,system,,,,,,,,,Load Interrupt Descriptor Table Register,11,11,,,,,,
smsw,,1,1,,,,,,,,4,,,,,,,,,system,,,,,,,,,Store Machine Status Word,11,16,,,,,,
smsw,,1,1,,,,,,,,4,,,,,,,,,system,,,,,,,,,Store Machine Status Word,16,36,,,,,,
lmsw,,1,1,,,,,,,,6,,0,,,,,,,system,,,,,,,,,Load Machine Status Word,4,16,,,,,,
invlpg,,1,1,,,,,,,,7,,0,,,,,,,system,,,,,,,,,Invalidate TLB Entry,11,,,,,,,
swapgs,,1,1,F8,,,,,,,7,e,0,,,,,,,system,,,,,,,,,Swap GS Base Register,,,,,,,,
rdtscp,,1,1,F9,,,,,,,7,,f,,,,,,,system,,,,,,,,,Read Time-Stamp Counter and Processor ID,,,,,,,,
lar,,1,2,,,,,,,,,p,,,,,,,,system,,,,z,z,,,,Load Access Rights Byte,6,36,11,16,,,,
lar,,1,2,,,,,,,,,p,,,,,,,,system,,,,z,z,,,,Load Access Rights Byte,6,36,16,15,,,,
lsl,,1,3,,,,,,,,,p,,,,,,,,system,,,,z,z,,,,Load Segment Limit,6,36,11,16,,,,
lsl,,1,3,,,,,,,,,p,,,,,,,,system,,,,z,z,,,,Load Segment Limit,6,36,16,15,,,,
loadall,,1,5,,,,,,,,,p,,,,,,,,system,branch,,,,,,,,Load All of the CPU Registers,,,,,,,,
syscall,,1,5,,,,,,,,,e,,,,,,,,system,branch,,,,,,,,Fast System Call,,,,,,,,
clts,,1,6,,,,,,,,,,0,,,,,,,system,,,,,,,,,Clear Task-Switched Flag in CR0,,,,,,,,
loadall,,1,7,,,,,,,,,p,,,,,,,,system,branch,,,,,,,,Load All of the CPU Registers,,,,,,,,
sysret,,1,7,,,,,,,,,e,0,,,,,,,system,branch,trans,,,,,,,Return From Fast System Call,,,,,,,,
invd,,1,8,,,,,,,,,,0,,,,,,,system,,,,,,,,,Invalidate Internal Caches,,,,,,,,
wbinvd,,1,9,,,,,,,,,,0,,,,,,,system,,,,,,,,,Write Back and Invalidate Cache,,,,,,,,
ud2,,1,0B,,,,,,,,,,,,,,,,,gen,control,,,,,,,,Undefined Instruction,,,,,,,,
nop,,1,0D,,,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,4,15,,,,,,
movups,,1,10,,,,,,,,,,,,,,,,sse1,simdfp,datamov,,,,,,,,Move Unaligned Packed Single-FP Values,19,8,20,8,,,,
movss,F3,1,10,,,,,,,,,,,,,,,,sse1,simdfp,datamov,,,,,,,,Move Scalar Single-FP Values,19,13,20,13,,,,
movupd,66,1,10,,,,,,,,,,,,,,,,sse2,pcksclr,datamov,,,,,,,,Move Unaligned Packed Double-FP Value,19,6,20,6,,,,
movsd,F2,1,10,,,,,,,,,,,,,,,,sse2,pcksclr,datamov,,,,,,,,Move Scalar Double-FP Value,19,12,20,12,,,,
movups,,1,11,,,,,,,,,,,,,,,,sse1,simdfp,datamov,,,,,,,,Move Unaligned Packed Single-FP Values,20,8,19,8,,,,
movss,F3,1,11,,,,,,,,,,,,,,,,sse1,simdfp,datamov,,,,,,,,Move Scalar Single-FP Values,20,13,19,13,,,,
movupd,66,1,11,,,,,,,,,,,,,,,,sse2,pcksclr,datamov,,,,,,,,Move Unaligned Packed Double-FP Values,20,6,19,6,,,,
movsd,F2,1,11,,,,,,,,,,,,,,,,sse2,pcksclr,datamov,,,,,,,,Move Scalar Double-FP Value,20,12,19,12,,,,
movhlps,,1,12,,,,,,,,,,,,,,,,sse1,simdfp,datamov,,,,,,,,Move Packed Single-FP Values High to Low,19,9,18,9,,,,
movlps,,1,12,,,,,,,,,,,,,,,,sse1,simdfp,datamov,,,,,,,,Move Low Packed Single-FP Values,19,9,11,9,,,,
movlpd,66,1,12,,,,,,,,,,,,,,,,sse2,pcksclr,datamov,,,,,,,,Move Low Packed Double-FP Value,19,9,11,9,,,,
movddup,F2,1,12,,,,,,,,,,,,,,,,sse3,simdfp,datamov,,,,,,,,Move One Double-FP and Duplicate,19,9,20,9,,,,
movsldup,F3,1,12,,,,,,,,,,,,,,,,sse3,simdfp,datamov,,,,,,,,Move Packed Single-FP Low and Duplicate,19,9,20,9,,,,
movlps,,1,13,,,,,,,,,,,,,,,,sse1,simdfp,datamov,,,,,,,,Move Low Packed Single-FP Values,11,9,19,9,,,,
movlpd,66,1,13,,,,,,,,,,,,,,,,sse2,pcksclr,datamov,,,,,,,,Move Low Packed Double-FP Value,11,9,19,9,,,,
unpcklps,,1,14,,,,,,,,,,,,,,,,sse1,simdfp,shunpck,,,,,,,,Unpack and Interleave Low Packed Single-FP Values,19,8,20,9,,,,
unpcklpd,66,1,14,,,,,,,,,,,,,,,,sse2,pcksclr,shunpck,,,,,,,,Unpack and Interleave Low Packed Double-FP Values,19,6,20,6,,,,
unpckhps,,1,15,,,,,,,,,,,,,,,,sse1,simdfp,shunpck,,,,,,,,Unpack and Interleave High Packed Single-FP Values,19,8,20,9,,,,
unpckhpd,66,1,15,,,,,,,,,,,,,,,,sse2,pcksclr,shunpck,,,,,,,,Unpack and Interleave High Packed Double-FP Values,19,6,20,6,,,,
movlhps,,1,16,,,,,,,,,,,,,,,,sse1,simdfp,datamov,,,,,,,,Move Packed Single-FP Values Low to High,19,9,18,9,,,,
movhps,,1,16,,,,,,,,,,,,,,,,sse1,simdfp,datamov,,,,,,,,Move High Packed Single-FP Values,19,9,11,9,,,,
movhpd,66,1,16,,,,,,,,,,,,,,,,sse2,pcksclr,datamov,,,,,,,,Move High Packed Double-FP Value,19,9,11,9,,,,
movshdup,F3,1,16,,,,,,,,,,,,,,,,sse3,simdfp,datamov,,,,,,,,Move Packed Single-FP High and Duplicate,19,9,20,9,,,,
movhps,,1,17,,,,,,,,,,,,,,,,sse1,simdfp,datamov,,,,,,,,Move High Packed Single-FP Values,11,9,19,9,,,,
movhpd,66,1,17,,,,,,,,,,,,,,,,sse2,pcksclr,datamov,,,,,,,,Move High Packed Double-FP Value,11,9,19,9,,,,
hint_nop,,1,18,,,,,,,,,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
prefetchnta,,1,18,,,,,,,,0,,,,,,,,sse1,fetch,,,,,,,,,Prefetch Data Into Caches,11,1,,,,,,
prefetcht0,,1,18,,,,,,,,1,,,,,,,,sse1,fetch,,,,,,,,,Prefetch Data Into Caches,11,1,,,,,,
prefetcht1,,1,18,,,,,,,,2,,,,,,,,sse1,fetch,,,,,,,,,Prefetch Data Into Caches,11,1,,,,,,
prefetcht2,,1,18,,,,,,,,3,,,,,,,,sse1,fetch,,,,,,,,,Prefetch Data Into Caches,11,1,,,,,,
hint_nop,,1,18,,,,,,,,4,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,18,,,,,,,,5,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,18,,,,,,,,6,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,18,,,,,,,,7,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,19,,,,,,,,,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,1A,,,,,,,,,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,1B,,,,,,,,,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,1C,,,,,,,,,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,1D,,,,,,,,,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,1E,,,,,,,,,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,1F,,,,,,,,,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
nop,,1,1F,,,,,,,,0,,,,,,,,,gen,control,,,,,,,,No Operation,4,15,,,,,,
hint_nop,,1,1F,,,,,,,,1,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,1F,,,,,,,,2,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,1F,,,,,,,,3,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,1F,,,,,,,,4,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,1F,,,,,,,,5,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,1F,,,,,,,,6,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
hint_nop,,1,1F,,,,,,,,7,,,,,,,,,gen,control,,,,,,,,Hintable NOP,4,15,,,,,,
mov,,1,20,,,,,,,,,,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Control Registers,16,3,2,3,,,,
mov,,1,20,,,,,,,,,,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Control Registers,7,3,2,3,,,,
mov,,1,20,,,,,,,,,e,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Control Registers,16,9,2,9,,,,
mov,,1,20,,,,,,,,,e,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Control Registers,7,9,2,9,,,,
mov,,1,21,,,,,,,,,,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Debug Registers,16,3,3,3,,,,
mov,,1,21,,,,,,,,,,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Debug Registers,7,3,3,3,,,,
mov,,1,21,,,,,,,,,e,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Debug Registers,16,9,3,9,,,,
mov,,1,21,,,,,,,,,e,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Debug Registers,7,9,3,9,,,,
mov,,1,22,,,,,,,,,,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Control Registers,2,3,16,3,,,,
mov,,1,22,,,,,,,,,,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Control Registers,2,3,7,3,,,,
mov,,1,22,,,,,,,,,e,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Control Registers,2,9,16,9,,,,
mov,,1,22,,,,,,,,,e,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Control Registers,2,9,7,9,,,,
mov,,1,23,,,,,,,,,,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Debug Registers,3,3,16,3,,,,
mov,,1,23,,,,,,,,,,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Debug Registers,3,9,7,9,,,,
mov,,1,23,,,,,,,,,e,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Debug Registers,3,9,16,9,,,,
mov,,1,23,,,,,,,,,e,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Debug Registers,3,9,7,9,,,,
mov,,1,24,,,,,,,,,,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Test Registers,16,3,30,3,,,,
mov,,1,24,,,,,,,,,,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Test Registers,7,3,30,3,,,,
mov,,1,26,,,,,,,,,,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Test Registers,30,3,16,3,,,,
mov,,1,26,,,,,,,,,,0,,,,,,,system,,,,oszapc,,oszapc,,,Move to/from Test Registers,30,3,7,3,,,,
movaps,,1,28,,,,,,,,,,,,,,,,sse1,simdfp,datamov,,,,,,,,Move Aligned Packed Single-FP Values,19,8,20,8,,,,
movapd,66,1,28,,,,,,,,,,,,,,,,sse2,pcksclr,datamov,,,,,,,,Move Aligned Packed Double-FP Values,19,6,20,6,,,,
movaps,,1,29,,,,,,,,,,,,,,,,sse1,simdfp,datamov,,,,,,,,Move Aligned Packed Single-FP Values,20,8,19,8,,,,
movapd,66,1,29,,,,,,,,,,,,,,,,sse2,pcksclr,datamov,,,,,,,,Move Aligned Packed Double-FP Values,20,6,19,6,,,,
cvtpi2ps,,1,2A,,,,,,,,,,,,,,,,sse1,conver,,,,,,,,,Convert Packed DW Integers to Single-FP Values,19,8,15,7,,,,
cvtsi2ss,F3,1,2A,,,,,,,,,,,,,,,,sse1,conver,,,,,,,,,Convert DW Integer to Scalar Single-FP Value,19,13,4,25,,,,
cvtpi2pd,66,1,2A,,,,,,,,,,,,,,,,sse2,pcksclr,conver,,,,,,,,Convert Packed DW Integers to Double-FP Values,19,6,15,7,,,,
cvtsi2sd,F2,1,2A,,,,,,,,,,,,,,,,sse2,pcksclr,conver,,,,,,,,Convert DW Integer to Scalar Double-FP Value,19,12,4,25,,,,
movntps,,1,2B,,,,,,,,,,,,,,,,sse1,cachect,,,,,,,,,Store Packed Single-FP Values Using Non-Temporal Hint,11,8,19,8,,,,
movntpd,66,1,2B,,,,,,,,,,,,,,,,sse2,cachect,,,,,,,,,Store Packed Double-FP Values Using Non-Temporal Hint,11,6,19,6,,,,
cvttps2pi,,1,2C,,,,,,,,,,,,,,,,sse1,conver,,,,,,,,,Convert with Trunc. Packed Single-FP Values to DW Integers,14,7,20,29,,,,
cvttss2si,F3,1,2C,,,,,,,,,,,,,,,,sse1,conver,,,,,,,,,Convert with Trunc. Scalar Single-FP Value to DW Integer,6,25,20,13,,,,
cvttpd2pi,66,1,2C,,,,,,,,,,,,,,,,sse2,pcksclr,conver,,,,,,,,Convert with Trunc. Packed Double-FP Values to DW Integers,14,7,20,6,,,,
cvttsd2si,F2,1,2C,,,,,,,,,,,,,,,,sse2,pcksclr,conver,,,,,,,,Conv. with Trunc. Scalar Double-FP Value to Signed DW Int,6,25,20,12,,,,
cvtps2pi,,1,2D,,,,,,,,,,,,,,,,sse1,conver,,,,,,,,,Convert Packed Single-FP Values to DW Integers,14,7,20,29,,,,
cvtss2si,F3,1,2D,,,,,,,,,,,,,,,,sse1,conver,,,,,,,,,Convert Scalar Single-FP Value to DW Integer,6,25,20,13,,,,
cvtpd2pi,66,1,2D,,,,,,,,,,,,,,,,sse2,pcksclr,conver,,,,,,,,Convert Packed Double-FP Values to DW Integers,14,7,20,6,,,,
cvtsd2si,F2,1,2D,,,,,,,,,,,,,,,,sse2,pcksclr,conver,,,,,,,,Convert Scalar Double-FP Value to DW Integer,6,25,20,12,,,,
ucomiss,,1,2E,,,,,,,,,,,,,,,,sse1,simdfp,compar,,,zpc,zpc,,,,Unordered Compare Scalar Single-FP Values and Set EFLAGS,19,13,20,13,,,,
ucomisd,66,1,2E,,,,,,,,,,,,,,,,sse2,pcksclr,compar,,,zpc,zpc,,,,Unordered Compare Scalar Double-FP Values and Set EFLAGS,19,12,20,12,,,,
comiss,,1,2F,,,,,,,,,,,,,,,,sse1,simdfp,compar,,,zpc,zpc,,,,Compare Scalar Ordered Single-FP Values and Set EFLAGS,19,13,20,13,,,,
comisd,66,1,2F,,,,,,,,,,,,,,,,sse2,pcksclr,compar,,,zpc,zpc,,,,Compare Scalar Ordered Double-FP Values and Set EFLAGS,19,12,20,12,,,,
wrmsr,,1,30,,,,,,,,,,0,,,,,,,system,,,,,,,,,Write to Model Specific Register,,,,,,,,
rdtsc,,1,31,,,,,,,,,,f,,,,,,,system,,,,,,,,,Read Time-Stamp Counter,,,,,,,,
rdmsr,,1,32,,,,,,,,,,0,,,,,,,system,,,,,,,,,Read from Model Specific Register,,,,,,,,
rdpmc,,1,33,,,,,,,,,,f,,,,,,,system,,,,,,,,,Read Performance-Monitoring Counters,,,,,,,,
sysenter,,1,34,,,,,,,,,p,,,,,,,,system,branch,,,i,i,,i,,Fast System Call,,,,,,,,
sysenter,,1,34,,,,,,,,,e,,,,,,,,system,branch,,,i,i,,i,,Fast System Call,,,,,,,,
sysexit,,1,35,,,,,,,,,p,0,,,,,,,system,branch,trans,,,,,,,Fast Return from Fast System Call,,,,,,,,
getsec,,1,37,,,,,,,,,,,,,,,,smx,,,,,,,,,,GETSEC Leaf Functions,,,,,,,,
pshufb,,1,38,0,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Shuffle Bytes,14,9,15,9,,,,
pshufb,66,1,38,0,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Shuffle Bytes,19,4,20,4,,,,
phaddw,,1,38,1,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Horizontal Add,14,9,15,9,,,,
phaddw,66,1,38,1,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Horizontal Add,19,4,20,4,,,,
phaddd,,1,38,2,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Horizontal Add,14,9,15,9,,,,
phaddd,66,1,38,2,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Horizontal Add,19,4,20,4,,,,
phaddsw,,1,38,3,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Horizontal Add and Saturate,14,9,15,9,,,,
phaddsw,66,1,38,3,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Horizontal Add and Saturate,19,4,20,4,,,,
pmaddubsw,,1,38,4,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Multiply and Add Packed Signed and Unsigned Bytes,14,9,15,9,,,,
pmaddubsw,66,1,38,4,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Multiply and Add Packed Signed and Unsigned Bytes,19,4,20,4,,,,
phsubw,,1,38,5,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Horizontal Subtract,14,9,15,9,,,,
phsubw,66,1,38,5,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Horizontal Subtract,19,4,20,4,,,,
phsubd,,1,38,6,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Horizontal Subtract,14,9,15,9,,,,
phsubd,66,1,38,6,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Horizontal Subtract,19,4,20,4,,,,
phsubsw,,1,38,7,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Horizontal Subtract and Saturate,14,9,15,9,,,,
phsubsw,66,1,38,7,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Horizontal Subtract and Saturate,19,4,20,4,,,,
psignb,,1,38,8,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed SIGN,14,9,15,9,,,,
psignb,66,1,38,8,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed SIGN,19,4,20,4,,,,
psignw,,1,38,9,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed SIGN,14,9,15,9,,,,
psignw,66,1,38,9,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed SIGN,19,4,20,4,,,,
psignd,,1,38,0A,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed SIGN,14,9,15,9,,,,
psignd,66,1,38,0A,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed SIGN,19,4,20,4,,,,
pmulhrsw,,1,38,0B,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Multiply High with Round and Scale,14,9,15,9,,,,
pmulhrsw,66,1,38,0B,,,,,,,,,,,,,,,ssse3,simdint,,,,,,,,,Packed Multiply High with Round and Scale,19,4,20,4,,,,
pblendvb,66,1,38,10,,,,,,,,,,,,,,,sse41,simdint,datamov,,,,,,,,Variable Blend Packed Bytes,19,4,20,4,,,,
blendvps,66,1,38,14,,,,,,,,,,,,,,,sse41,simdint,datamov,,,,,,,,Variable Blend Packed Single-FP Values,19,8,20,8,,,,
blendvpd,66,1,38,15,,,,,,,,,,,,,,,sse41,simdint,datamov,,,,,,,,Variable Blend Packed Double-FP Values,19,6,20,6,,,,
